"origin","destination","count"
"m_bil","m_amr",1
"m_bil","m_amr",1
"m_bil","m_jod",1
"m_bil","m_jod",1
"m_bil","m_bik",1
"m_bil","m_bik",1
"m_bil","m_bho",1
"m_bil","m_bho",1
"m_bil","chrm",1
"m_bil","chrm",1
"m_bil","ers",1
"m_bil","ers",1
"m_bil","hapa",1
"m_bil","hapa",1
"m_bil","m_ind",1
"m_bil","m_ind",1
"m_bil","m_che",1
"m_bil","m_che",1
"m_bil","m_del",1
"m_bil","m_del",1
"m_bil","m_nag",1
"m_bil","m_nag",1
"m_bil","m_pat",1
"m_bil","m_pat",1
"m_bil","m_pun",1
"m_bil","m_pun",1
"m_bil","rewa",1
"m_bil","rewa",1
"m_bil","tata",1
"m_bil","tata",1
"m_bil","m_tir",1
"m_bil","m_tir",1
"m_bil","m_chi",1
"m_bil","m_chi",1
"btc","jbp",1
"bti","m_del",1
"bti","jat",1
"bti","m_bik",1
"bti","m_del",1
"bui","m_kol",1
"m_bha","asn",1
"m_bha","m_gre",1
"m_bha","m_eas",1
"m_bha","m_del",1
"m_bha","m_thi",1
"m_bha","m_kac",1
"m_bha","m_sur",1
"m_kri","m_ban",1
"m_kri","m_che",1
"m_kri","rgda",1
"m_kri","m_hyd",1
"m_kri","snsi",1
"m_kri","m_dha",1
"m_kri","m_vis",1
"can","allp",1
"can","ers",1
"can","m_ban",1
"can","m_thi",1
"can","m_ban",1
"m_kan","m_gre",1
"m_kan","m_dib",1
"m_kan","m_kol",1
"m_kan","jat",1
"m_kan","m_che",1
"m_kan","m_del",1
"m_kan","pdy",1
"m_kan","rmm",1
"m_kan","m_ban",1
"m_coi","m_bik",1
"m_coi","jp",1
"m_coi","m_gre",1
"m_coi","m_dak",1
"m_coi","m_che",1
"m_coi","mq",1
"m_coi","m_nag",1
"m_coi","m_kan",1
"m_coi","m_del",1
"m_coi","rjt",1
"m_coi","rmm",1
"m_coi","m_tho",1
"m_coi","m_chi",1
"m_coi","m_ban",1
"m_eas","m_bha",1
"m_eas","m_ban",1
"m_eas","m_hyd",1
"m_eas","snsi",1
"cdg","aii",1
"cdg","m_all",1
"cdg","m_amr",1
"cdg","m_gre",1
"cdg","m_var",1
"cdg","m_dib",1
"cdg","m_ind",1
"cdg","jp",1
"cdg","m_thi",1
"cdg","m_luc",1
"cdg","m_luc",1
"cdg","m_sou",1
"cdg","mdu",1
"cdg","m_del",1
"cdg","m_pat",1
"cdg","rmr",1
"cdg","m_ban",1
"chd","chrm",1
"che","m_hyd",1
"chrm","m_bil",1
"chrm","m_bil",1
"chrm","chd",1
"chrm","m_dur",1
"chrm","rewa",1
"ckp","bbn",1
"ckp","m_kol",1
"clt","m_thi",1
"m_mys","m_chi",1
"m_kan","m_del",1
"m_kan","m_amr",1
"m_kan","m_gre",1
"m_kan","bl",1
"m_kan","bnw",1
