"origin","destination","count"
"cpr","svdk",1
"cpr","tata",1
"csn","bsl",1
"csn","cstm",1
"csn","dhi",1
"cstm","ami",1
"cstm","asn",1
"cstm","asr",1
"cstm","bjp",1
"cstm","bsb",1
"cstm","cape",1
"cstm","csn",1
"cstm","fzr",1
"cstm","g",1
"cstm","hwh",1
"cstm","hyb",1
"cstm","jbp",1
"cstm","kop",1
"cstm","ljn",1
"cstm","lur",1
"cstm","majn",1
"cstm","mao",1
"cstm","mas",1
"cstm","mmr",1
"cstm","ncj",1
"cstm","ned",1
"cstm","ngp",1
"cstm","pnbe",1
"cstm","pune",1
"cstm","pvr",1
"cstm","sbc",1
"cstm","sc",1
"cstm","snsi",1
"cstm","sur",1
"cstm","tvc",1
"cto","kcg",1
"cwa","dee",1
"cwa","indb",1
"cwa","ngp",1
"dab","mmr",1
"daka","koaa",1
"dbb","apdj",1
"dbb","shtt",1
"dbg","adi",1
"dbg","dli",1
"dbg","hwh",1
"dbg","koaa",1
"dbg","ltt",1
"dbg","mys",1
"dbg","ndls",1
"dbg","ntsk",1
"dbg","pune",1
"dbg","sc",1
"dbrg","asr",1
"dbrg","cape",1
"dbrg","cdg",1
"dbrg","dli",1
"dbrg","hwh",1
"dbrg","jaj",1
"dbrg","koaa",1
"dbrg","kyq",1
"dbrg","ms",1
"dbrg","ndls",1
"dbrg","rny",1
"dbrg","sbc",1
"dbrt","ndls",1
"dd","ned",1
"ddn","ald",1
"ddn","asr",1
"ddn","bdts",1
"ddn","bsb",1
"ddn","dee",1
"ddn","gkp",1
"ddn","hwh",1
"ddn","indb",1
"ddn","kcvl",1
"ddn","kgm",1
"ddn","mdu",1
"ddn","mfp",1
"ddn","ndls",1
"ddn","okha",1
"ddn","ujn",1
"dee","aii",1
"dee","bdts",1
"dee","bgkt",1
"dee","bkn",1
"dee","cwa",1
"dee","ddn",1
"dee","fzr",1
"dee","jat",1
"dee","jp",1
"dee","ju",1
"dee","klk",1
"dee","pbr",1
"dee","rjt",1
"dee","svdk",1
"dee","udz",1
"dee","uhp",1
"dee","ypr",1
"dgha","hwh",1
"dgha","mldt",1
"dgha","njp",1
"dgha","puri",1
"dgha","vskp",1
"dhd","hbj",1
"dhi","csn",1
"dhi","cstm",1
"dhn","allp",1
"dhn","bbs",1
"dhn","fzr",1
"dhn","hwh",1
"dhn","kop",1
"dhn","pnbe",1
"dhn","tata",1
"diva","swv",1
"dj","djrz",1
"dj","kgn",1
"dkgn","kyq",1
"dli","aadr",1
"dli","adi",1
"dli","amh",1
"dli","apdj",1
"dli","att",1
"dli","be",1
"dli","bti",1
"dli","dbg",1
"dli","dbrg",1
"dli","fd",1
"dli","fka",1
"dli","hsx",1
"dli","jat",1
"dli","jsm",1
"dli","ju",1
"dli","kgm",1
"dli","ktw",1
"dli","mldt",1
"dli","pbh",1
"dli","ptk",1
"dli","rxl",1
"dli","sdah",1
"dli","sgnr",1
"dli","sln",1
"dli","spc",1
"dli","uhp",1
"dli","umb",1
"dmm","vskp",1
"dmo","bpl",1
"dmv","kyq",1
"dnr","bgp",1
"dnr","grd",1
"dnr","hwh",1
"dnr","jyg",1
"dnr","kyq",1
"dnr","njp",1
"dnr","rgd",1
"dnr","sbg",1
"dnr","shc",1
"dnr","tata",1
"dr","aii",1
"dr","awb",1
"dr","bhuj",1
"dr","bkn",1
"dr","bsl",1
"dr","mao",1
"dr","ms",1
"dr","mys",1
"dr","pdy",1
"dr","rn",1
"dr","snsi",1
"dr","swv",1
"dr","ten",1
"drz","r",1
"dumk","rnc",1
"durg","abkp",1
"durg","aii",1
"durg","bpl",1
"durg","cnb",1
"durg","cpr",1
"durg","jat",1
"durg","jdb",1
"durg","jp",1
"durg","ntv",1
"durg","nzm",1
"durg","puri",1
"durg","rjpb",1
"durg","vskp",1
"dwr","mys",1
"dwr","sbc",1
"dwr","sur",1
"ed","mas",1
"ers","aii",1
"ers","bju",1
"ers","bsp",1
"ers","can",1
"ers","kik",1
"ers","ltt",1
"ers","mao",1
"ers","mas",1
"ers","nzm",1
"ers","okha",1
"ers","pnbe",1
"ers","pune",1
"ers","sbc",1
"ers","tvc",1
"et","bpl",1
"fbd","cpr",1
"fd","dli",1
"fd","ltt",1
"fka","dli",1
"fzr","bct",1
"fzr","cstm",1
"fzr","dee",1
"fzr","dhn",1
"g","bju",1
"g","cstm",1
"g","kop",1
"g","rig",1
"gad","ngp",1
"gaya","anvt",1
"gaya","hwh",1
"gaya","kyq",1
"gaya","ms",1
"gaya","ndls",1
"gd","asn",1
"gd","be",1
"gd","bsb",1
"gd","gwl",1
"gdr","sc",1
"ghy","anvt",1
"ghy","bme",1
"ghy","hwh",1
"ghy","jat",1
"ghy","jttn",1
"ghy","kcvl",1
"ghy","koaa",1
"ghy","ltt",1
"ghy","ms",1
"ghy","ndls",1
"ghy","nhln",1
"ghy","okha",1
"ghy","puri",1
"ghy","sbc",1
"ghy","sc",1
"ghy","sdah",1
"ghy","tvc",1
"gimb","bdts",1
"gimb","hwh",1
"gimb","ju",1
"gimb","kyq",1
"gimb","ncj",1
"gimb","puri",1
"gimb","sbc",1
"gimb","vskp",1
"gkp","adi",1
"gkp","anvt",1
"gkp","asn",1
"gkp","bdts",1
"gkp","cpa",1
"gkp","ddn",1
"gkp","hsr",1
"gkp","hte",1
"gkp","jat",1
"gkp","koaa",1
"gkp","ljn",1
"gkp","ltt",1
"gkp","muv",1
"gkp","okha",1
"gkp","pune",1
"gkp","sc",1
"gkp","shm",1
"gkp","tvc",1
"gkp","ypr",1
"gnc","indb",1
"gnt","kcg",1
"gnt","sc",1
"gnt","vkb",1
"gnt","vskp",1
"grd","dnr",1
"gtl","tpty",1
"guv","ms",1
"guv","tvc",1
"gwl","bju",1
"gwl","bpl",1
"gwl","bsb",1
"gwl","gd",1
"gwl","hwh",1
"gwl","indb",1
"gwl","pune",1
"hapa","bsp",1
"hapa","jat",1
"hapa","mao",1
"hapa","st",1
"hapa","ten",1
"hbj","cstm",1
"hbj","dhd",1
"hbj","indb",1
"hbj","jbp",1
"hbj","ltt",1
"hbj","ndls",1
"hbj","nzm",1
"hbj","rewa",1
"hdb","koaa",1
"hdb","sdah",1
"hlz","anvt",1
"hlz","mas",1
"hpt","sbc",1
"hrr","ypr",1
"hsr","asr",1
"hsr","bdts",1
"hsr","gkp",1
"hsr","jp",1
"hsx","dli",1
"hte","anvt",1
"hte","gkp",1
"hte","hwh",1
"hte","ltt",1
"hte","pnbe",1
"hte","pune",1
"hte","puri",1
"hte","rjpb",1
"hte","ypr",1
"hw","adi",1
"hw","aii",1
"hw","ald",1
"hw","asr",1
"hw","bdts",1
"hw","bkn",1
"hw","bl",1
"hw","bme",1
"hw","hwh",1
"hw","ltt",1
"hw","puri",1
"hw","rmr",1
"hw","uhl",1
"hwh","adi",1
"hwh","aly",1
"hwh","asn",1
"hwh","asr",1
"hwh","az",1
"hwh","bbn",1
"hwh","bbs",1
"hwh","bhp",1
"hwh","bksc",1
"hwh","blgt",1
"hwh","bpl",1
"hwh","cape",1
"hwh","ckp",1
"hwh","cstm",1
"hwh","dbg",1
"hwh","dbrg",1
"hwh","ddn",1
"hwh","dgha",1
"hwh","dhn",1
"hwh","dnr",1
"hwh","ers",1
"hwh","gaya",1
"hwh","ghy",1
"hwh","gimb",1
"hwh","gwl",1
"hwh","hte",1
"hwh","hw",1
"hwh","hyb",1
"hwh","indb",1
"hwh","jat",1
"hwh","jbp",1
"hwh","jdb",1
"hwh","jmp",1
"hwh","jsm",1
"hwh","ju",1
"hwh","kgm",1
"hwh","kir",1
"hwh","klk",1
"hwh","lku",1
"hwh","ltt",1
"hwh","mas",1
"hwh","mka",1
"hwh","mldt",1
"hwh","mtj",1
"hwh","mys",1
"hwh","ndls",1
"hwh","njp",1
"hwh","pbr",1
"hwh","pdy",1
"hwh","pnbe",1
"hwh","prr",1
"hwh","pune",1
"hwh","puri",1
"hwh","rnc",1
"hwh","rph",1
"hwh","rxl",1
"hwh","sbp",1
"hwh","sc",1
"hwh","sgnr",1
"hwh","snsi",1
"hwh","sspn",1
"hwh","suri",1
"hwh","tata",1
"hwh","tig",1
"hwh","tpj",1
"hwh","vsg",1
"hwh","ypr",1
"hyb","aii",1
"hyb","awb",1
"hyb","bjp",1
"hyb","che",1
"hyb","coa",1
"hyb","cstm",1
"hyb","hwh",1
"hyb","kop",1
"hyb","mas",1
"hyb","ndls",1
"hyb","ns",1
"hyb","nzm",1
"hyb","pbn",1
"hyb","pune",1
"hyb","rxl",1
"hyb","tpty",1
"hyb","tvc",1
"hyb","vskp",1
"indb","asr",1
"indb","bct",1
"indb","be",1
"indb","bix",1
"indb","bpl",1
"indb","bsp",1
"indb","cdg",1
"indb","cwa",1
"indb","ddn",1
"indb","gnc",1
"indb","gwl",1
"indb","hbj",1
"indb","hwh",1
"indb","jat",1
"indb","jbp",1
"indb","jp",1
"indb","ju",1
"indb","kota",1
"indb","ngp",1
"indb","nzm",1
"indb","pune",1
"indb","rewa",1
"indb","rjpb",1
"indb","tvc",1
"indb","udz",1
"indb","ypr",1
"indm","ak",1
"ipr","ndls",1
"ipr","rjpb",1
"itr","tata",1
"izn","ash",1
"jaj","dbrg",1
"jam","bdts",1
"jam","jat",1
"jam","st",1
"jat","adi",1
"jat","aii",1
"jat","bdts",1
"jat","bgp",1
"jat","bsb",1
"jat","bti",1
"jat","cape",1
"jat","cnb",1
"jat","dee",1
"jat","dli",1
"jat","durg",1
"jat","ghy",1
"jat","gkp",1
"jat","hapa",1
"jat","hwh",1
"jat","indb",1
"jat","jam",1
"jat","jbp",1
"jat","kgm",1
"jat","koaa",1
"jat","kota",1
"jat","maq",1
"jat","mas",1
"jat","mfp",1
"jat","ndls",1
"jat","pune",1
"jat","rjpb",1
"jat","rksh",1
"jat","rou",1
"jat","sgnr",1
"jbn","anvt",1
"jbn","koaa",1
"jbp","abkp",1
"jbp","aii",1
"jbp","ami",1
"jbp","btc",1
"jbp","cstm",1
"jbp","hbj",1
"jbp","hwh",1
"jbp","indb",1
"jbp","jat",1
"jbp","ljn",1
"jbp","ltt",1
"jbp","muv",1
"jbp","ndls",1
"jbp","ngp",1
"jbp","nzm",1
"jbp","pune",1
"jbp","rewa",1
"jbp","sgrl",1
"jbp","smnh",1
"jbp","ypr",1
"jdb","bbs",1
"jdb","durg",1
"jdb","hwh",1
"jhs","bdts",1
"jhs","koaa",1
"jhs","ljn",1
"jhs","nzm",1
"jmp","hwh",1
"jnrd","bbs",1
"jp","adi",1
"jp","af",1
"jp","ald",1
"jp","bct",1
"jp","bdts",1
"jp","bkn",1
"jp","bpl",1
"jp","cbe",1
"jp","cdg",1
"jp","dee",1
"jp","durg",1
"jp","hsr",1
"jp","indb",1
"jp","ju",1
"jp","kyq",1
"jp","ljn",1
"jp","mys",1
"jp","ngp",1
"jp","okha",1
"jp","pune",1
"jp","rtm",1
"jp","sc",1
"jp","udz",1
"jp","ypr",1
"jsm","bdts",1
"jsm","bkn",1
"jsm","dli",1
"jsm","hwh",1
"jsm","ju",1
"jsm","kgm",1
"jsme","koaa",1
"jttn","ghy",1
"ju","aii",1
"ju","bdts",1
"ju","bl",1
"ju","bpl",1
"ju","bsb",1
"ju","bti",1
"ju","dee",1
"ju","dli",1
"ju","gimb",1
"ju","hwh",1
"ju","indb",1
"ju","jp",1
"ju","jsm",1
"ju","ms",1
"ju","puri",1
"juc","ndls",1
"jyg","anvt",1
"jyg","asr",1
"jyg","dnr",1
"jyg","koaa",1
"jyg","puri",1
"jyg","rnc",1
"jyg","sdah",1
"kawr","sbc",1
"kawr","ypr",1
"kcg","ak",1
"kcg","cto",1
"kcg","gnt",1
"kcg","maq",1
"kcg","mdu",1
"kcg","ms",1
"kcg","ncj",1
"kcg","ral",1
"kcg","sbc",1
"kcg","tpty",1
"kcg","ypr",1
"kcvl","asr",1
"kcvl","bkn",1
"kcvl","bvc",1
"kcvl","cdg",1
"kcvl","ddn",1
"kcvl","ghy",1
"kcvl","ltt",1
"kcvl","pbr",1
