"id_code","station","district","longitude","latitude"
"mfp","muzaffarpur jn","Muzaffarpur",85.322245,26.152486
"mys","mysore jn","Mysore",76.435923,12.202194
"nsl","nagarsol","Nashik",74.077989,20.260047
"ncj","nagercoil jn","Kanniyakumari",77.34655,8.306209
"ngp","nagpur","Nagpur",79.082119,21.176874
"nhln","naharlagun","Lower Subansiri",93.872269,27.671138
"nldm","nangal dam","Rupnagar",76.538551,30.962702
"ns","narasapur","West Godavari",81.392226,16.886767
"ndt","nathdwara","Rajsamand",73.875441,25.197625
"ntv","nautanwa","Maharajganj",83.500687,27.188238
"noq","new alipurduar","Jalpaiguri",89.080721,26.662621
"navi","new amravati","Amravati",77.56866,21.189326
"ncb","new cooch behar","Kochbihar",89.349321,26.292322
"ndls","new delhi","Delhi",77.108965,28.646458
"njp","new jalpaiguri","Jalpaiguri",89.080721,26.662621
"ntsk","new tinsukia jn","Tinsukia",95.625516,27.584578
"ndd","nidadavolu jn","West Godavari",81.392226,16.886767
"nil","nilambur road","Malappuram",76.151792,11.129281
"nzb","nizamabad","Nizamabad",78.139412,18.52375
"okha","okha","Kachchh",69.967052,23.625434
"plni","palani","Dindigul",77.805022,10.379186
"pgtn","palghat town","Malappuram",76.151792,11.129281
"pit","palitana","Bhavnagar",71.86295,21.68373
"pvr","pandharpur","Solapur",75.484996,17.788867
"prdp","paradip","Jagatsinghpur",86.330134,20.216309
"pbn","parbhani jn","Parbhani",76.681675,19.28586
"pbh","partapgarh jn","Pratapgarh",81.822447,25.876429
"pvp","parvatipuram","Vizianagaram",83.364013,18.465385
"ptk","pathankot","Gurdaspur",75.372956,32.02274
"ppta","patliputra","Patna",85.213932,25.457251
"pnbe","patna jn","Patna",85.213932,25.457251
"pbr","porbandar","Porbandar",69.802143,21.637814
"prg","prayag","Allahabad",81.96505,25.299904
"pyg","prayag ghat","Lucknow",80.896858,26.846907
"pdy","puducherry","Puducherry",79.748452,11.909371
"puu","punalur","Kollam",76.867776,8.954158
"pune","pune jn","Pune",74.076734,18.570563
"puri","puri","Puri",85.698545,19.865745
"pau","purna jn","Parbhani",76.681675,19.28586
"prr","purulia jn","Puruliya",86.41262,23.274888
"rdp","radhikapur","Uttar Dinajpur",88.156948,25.874642
"rbl","rae bareli jn","Rae Bareli",81.222189,26.233519
"rig","raigarh","Raigarh",83.299054,22.083049
"rig","raigarh","Raigarh",73.230223,18.509966
"r","raipur jn","Raipur",82.166714,21.068758
"rjy","rajahmundry","East Godavari",81.997558,17.189858
"rjpb","rajendranagar t","Patna",85.213932,25.457251
"rgd","rajgir","Nalanda",85.448226,25.221415
"rjt","rajkot jn","Rajkot",70.792219,22.255
"rmm","rameswaram","Ramanathapuram",78.680539,9.442849
"rmr","ramnagar","Bangalore Rural",77.422389,12.887321
"rph","rampur hat","Rampur",79.09398,28.801611
"rnc","ranchi","Ranchi",85.330163,23.211364
"rny","rangiya jn","Kamrup",91.535039,26.1354
"rtm","ratlam jn","Ratlam",75.090142,23.504034
"rn","ratnagiri","Ratnagiri",73.460638,17.272426
"rxl","raxaul jn","Purba Champaran",84.916513,26.620689
"rgda","rayagada","Rayagada",83.506312,19.355113
"ru","renigunta jn","Chittoor",79.003957,13.456623
"ral","repalle","Guntur",80.08137,16.291378
"rewa","rewa","Rewa",81.581547,24.75822
"rksh","rishikesh","Dehra Dun",77.959794,30.468601
"rok","rohtak jn","Rohtak",76.511232,28.9143
"rou","rourkela","Sundargarh",84.504261,22.076708
"sdlp","sadulpur jn","Churu",74.56167,28.292739
"sre","saharanpur","Saharanpur",77.535297,29.954804
"shc","saharsa jn","Saharsa",86.582629,25.81701
"sbg","sahibganj jn","Sahibganj",87.674195,25.007217
"sspn","sai p nilayam","Anantapur",77.570753,14.475031
"snsi","sainagar shirdi","Ahmednagar",74.645531,19.233309
"sa","salem jn","Salem",78.209116,11.662904
"sbp","sambalpur","Sambalpur",84.274397,21.447651
"src","santragachi jn","Kolkata",88.352416,22.551416
"swv","sawantwadi road","Sindhudurg",73.742885,16.132108
"sdah","sealdah","Kolkata",88.352416,22.551416
"sc","secunderabad jn","Hyderabad",78.464526,17.38596
"sct","sengottai","Tirunelveli Kattabo",77.523123,8.790241
"sdl","shahdol","Shahdol",81.432997,23.463405
"sktn","shakti nagar","Sonbhadra",83.045406,24.403817
"shm","shalimar","Kolkata",88.352416,22.551416
"smet","shimoga town","Shimoga",75.175908,14.052346
"svdk","shmata vd katra","Anantnag (Kashmir South)",75.332294,33.804036
"srr","shoranur jn","Palakkad",76.548356,10.787296
"sgnr","shri ganganagar","Ganganagar",73.598384,29.407735
"shtt","silghat town","Nagaon",92.841534,26.225442
"sgud","siliguri","Jalpaiguri",89.080721,26.662621
"sguj","siliguri jn","Jalpaiguri",89.080721,26.662621
"sml","simla","Shimla",77.617843,31.201501
"sgrl","singrauli","Sonbhadra",83.045406,24.403817
"skzr","sirpur kagazngr","Adilabad",78.96655,19.254438
"smi","sitamarhi","Sitamarhi",85.5571,26.596393
"spc","sitapur city","Sitapur",80.847039,27.523171
"suri","siuri","Birbhum",87.661532,23.95171
"sur","solapur jn","Solapur",75.484996,17.788867
"smnh","somnath","Una",76.195744,31.582749
"che","srikakulam road","Srikakulam",83.979429,18.571072
"sina","srinagar","Srinagar",75.102191,34.24541
"sln","sultanpur","Sultanpur",82.010752,26.278963
"st","surat","Surat",73.309132,21.234253
"tlgp","talguppa","Shimoga",75.175908,14.052346
"tpu","tanakpur","Champawat",80.061652,29.303024
"tata","tatanagar jn","Purba Singhbhum",86.447437,22.57877
"tj","thanjavur","Thanjavur",79.223655,10.655119
"tpj","tiruchchirapali","Tiruchchirappalli",78.555009,10.876874
"tcn","tiruchendur","Thoothukudi",77.988243,8.877554
"ten","tirunelveli","Tirunelveli Kattabo",77.523123,8.790241
"tpty","tirupati","Chittoor",79.003957,13.456623
"tig","titlagarh","Bolangir",83.166765,20.586002
"djrz","to darjeeling","Darjiling",88.391978,26.914131
"kgnd","to kurseong","Darjiling",88.391978,26.914131
"tvc","trivandrum cntl","Thiruvananthapuram",77.004583,8.606253
"tn","tuticorin","Thoothukudi",77.988243,8.877554
"uam","udagamandalam","Nilgiris",76.632891,11.448575
"udz","udaipur city","Udaipur",73.755931,24.391901
"uhp","udhampur","Udhampur",75.188324,33.062114
"udn","udhna jn","Surat",73.309132,21.234253
"ujn","ujjain jn","Ujjain",75.667453,23.335335
"uhl","una himachal","Una",76.195744,31.582749
"brc","vadodara jn","Vadodara",73.541416,22.226274
"bl","valsad","Valsad",73.118649,20.418334
"bsb","varanasi jn","Varanasi",82.909096,25.390548
"vsg","vasco da gama","South Goa",74.120347,15.195291
"vlnk","vellankanni","Nagapattinam",79.735989,10.86372
"vrl","veraval","Junagadh",70.794231,20.834384
"vrl","veraval","Junagadh",70.56796,21.213548
"bza","vijayawada jn","Krishna",80.792672,16.550539
"vkb","vikarabad jn","Rangareddi",78.172315,17.283775
"vm","villupuram jn","Villupuram",79.284401,11.960291
"bdl","vindhyachal","Mirzapur",82.610932,24.988026
"vskp","visakhapatnam","Vishakhapatnam",82.682004,17.88474
"vzm","vizianagram jn","Vizianagaram",83.364013,18.465385
"ypr","yesvantpur jn","Bangalore Urban",77.586787,12.942303
